Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-13	18.4	600.7	74	0.0	8.3	0	231.8
2022-09-13	18.3	253.7	77	0.0	10.2	0	196.4
2022-09-13	17.9	151.7	80	0.0	8.6	4	185.1
2022-09-13	16.2	41.2	90	0.0	13.3	10	204.4
2022-09-13	14.4	29.4	97	0.0	12.7	10	212.4
2022-09-13	14.4	25.0	98	0.0	10.9	10	203.2
2022-09-13	14.1	23.8	99	0.0	7.4	10	225.8
2022-09-13	14.0	21.1	99	0.0	6.1	10	228.6
2022-09-13	14.2	19.4	99	0.0	5.4	10	290.3
2022-09-13	14.3	12.1	99	0.0	8.2	10	270.8
2022-09-13	14.3	6.9	99	0.0	11.5	10	222.9
2022-09-13	14.2	12.8	99	0.0	8.1	10	180.6
2022-09-13	14.1	21.4	99	0.0	5.0	10	145.3
2022-09-13	14.1	30.0	99	0.0	4.8	10	227.3
2022-09-13	14.2	36.0	99	0.0	3.1	8	317.4
2022-09-13	14.2	28.4	99	0.0	3.8	10	329.9
2022-09-13	14.1	21.1	99	0.0	4.4	10	272.6
2022-09-13	13.9	7.0	99	0.0	4.9	10	257.4
2022-09-13	13.8	0.8	99	0.0	4.6	10	256.0
2022-09-13	13.8	0.0	99	0.0	2.9	10	252.4
2022-09-13	13.8	0.0	99	0.0	3.7	10	253.0
2022-09-13	13.7	0.0	99	0.0	4.1	10	316.3
2022-09-13	13.6	0.0	99	0.0	4.3	10	273.6
2022-09-13	13.6	0.0	99	0.0	4.9	10	260.2
2022-09-13	13.6	0.0	99	0.0	3.2	10	252.0
2022-09-13	13.4	0.0	99	0.0	3.9	10	264.1
2022-09-13	13.3	0.0	99	0.0	2.6	10	34.9
2022-09-13	13.2	0.0	99	0.0	2.7	10	72.1
2022-09-13	13.2	0.0	99	0.0	1.4	10	39.6
2022-09-13	13.2	0.0	99	0.0	3.3	10	325.8
2022-09-13	13.3	0.0	100	0.0	3.2	10	304.6
2022-09-13	13.1	0.0	99	0.0	2.8	10	338.3
2022-09-13	13.1	0.0	99	0.0	2.0	10	37.2
2022-09-13	12.9	0.0	99	0.0	1.7	10	15.5
2022-09-13	12.8	0.0	100	0.0	2.9	10	284.5
2022-09-13	12.7	0.0	100	0.0	3.2	10	340.5
2022-09-13	12.7	0.0	100	0.0	3.4	10	250.5
2022-09-13	12.7	0.0	100	0.0	2.5	10	296.7
2022-09-13	12.7	0.0	100	0.0	4.0	10	297.5
2022-09-13	12.7	0.0	100	0.0	3.6	10	15.0
2022-09-13	12.8	0.0	100	0.0	2.9	10	286.8
2022-09-14	12.9	0.0	100	0.0	2.5	10	265.1
2022-09-14	12.8	0.0	100	0.0	4.9	10	325.0
2022-09-14	12.7	0.0	100	0.0	4.5	10	21.5
2022-09-14	12.7	0.0	100	0.0	3.0	10	46.8
2022-09-14	12.7	0.0	100	0.0	3.9	10	74.3
2022-09-14	12.7	0.0	100	0.0	3.1	10	44.3
2022-09-14	12.7	0.0	100	0.0	2.5	9	337.3
2022-09-14	12.7	0.0	100	0.0	0.7	9	66.0
2022-09-14	12.8	0.0	100	0.0	2.0	8	223.2
2022-09-14	12.8	0.0	100	0.0	1.4	8	332.8
2022-09-14	12.7	0.0	100	0.0	0.0	7	75.2
2022-09-14	12.7	0.0	100	0.0	1.7	7	276.8
2022-09-14	12.7	0.0	100	0.0	1.6	7	45.1
2022-09-14	12.6	0.0	100	0.0	4.4	7	48.6
2022-09-14	12.5	0.0	100	0.0	0.9	7	49.4
2022-09-14	12.4	0.0	100	0.0	1.4	6	61.6
2022-09-14	12.3	0.0	100	0.0	2.6	6	105.3
2022-09-14	12.4	0.0	100	0.0	2.5	7	340.6
2022-09-14	12.5	0.0	100	0.0	4.9	8	340.3
2022-09-14	12.5	0.0	100	0.0	8.0	8	0.9
2022-09-14	12.5	0.0	100	0.0	6.0	7	20.6
2022-09-14	12.5	0.0	100	0.0	5.6	6	359.2
2022-09-14	12.5	0.0	100	0.0	3.0	6	66.0
2022-09-14	12.5	0.2	100	0.0	1.6	6	354.4
2022-09-14	12.3	2.7	100	0.0	5.0	6	46.6
2022-09-14	12.2	19.0	100	0.0	8.7	7	38.1
2022-09-14	12.2	44.4	99	0.0	5.2	7	83.7
2022-09-14	12.4	67.9	99	0.0	5.6	7	30.2
2022-09-14	12.5	96.2	99	0.0	5.9	3	44.2
2022-09-14	12.7	122.9	99	0.0	6.1	2	79.7
2022-09-14	12.9	153.9	99	0.0	7.1	1	73.1
2022-09-14	13.2	262.1	98	0.0	6.9	1	74.5
2022-09-14	13.7	335.1	96	0.0	6.8	0	99.7
2022-09-14	14.1	291.4	93	0.0	7.5	0	106.3
2022-09-14	14.3	421.2	92	0.0	8.1	0	52.0
2022-09-14	15.6	634.0	87	0.0	7.4	0	71.5
2022-09-14	16.4	658.2	82	0.0	9.6	0	169.3
2022-09-14	16.8	754.8	79	0.0	8.3	0	181.2
2022-09-14	16.8	843.8	80	0.0	12.2	0	21.4
2022-09-14	16.7	643.2	79	0.0	9.8	0	89.3
2022-09-14	17.0	878.4	79	0.0	9.4	0	251.5
2022-09-14	16.7	782.2	79	0.0	13.8	0	174.3
2022-09-14	16.8	551.8	79	0.0	7.3	0	305.4
2022-09-14	16.9	421.6	77	0.0	6.0	0	339.0
2022-09-14	16.8	607.8	77	0.0	9.6	0	258.1
2022-09-14	17.0	459.4	78	0.0	7.9	0	277.1
2022-09-14	17.1	550.2	78	0.0	8.8	0	274.4
2022-09-14	17.7	628.4	76	0.0	9.4	0	219.2
2022-09-14	17.8	848.2	74	0.0	9.4	0	190.2
2022-09-14	18.2	832.1	72	0.0	11.3	0	203.5
2022-09-14	18.5	828.1	70	0.0	9.1	0	245.2
2022-09-14	18.6	586.1	69	0.0	10.9	0	212.0
2022-09-14	19.1	721.2	67	0.0	8.9	0	235.0
2022-09-14	18.7	391.3	69	0.0	7.5	0	222.4
2022-09-14	18.6	360.0	70	0.0	8.4	0	357.0
2022-09-14	16.6	58.0	79	0.0	7.4	9	316.6
2022-09-14	15.4	136.6	91	0.0	9.7	9	206.7
2022-09-14	15.6	326.7	93	0.0	10.1	0	206.9
2022-09-14	16.1	454.0	91	0.0	9.6	0	187.9
2022-09-14	16.6	204.5	87	0.0	7.9	0	168.2
2022-09-14	16.2	195.9	89	0.0	7.7	0	170.8
2022-09-14	16.2	162.1	89	0.0	9.5	1	185.5
2022-09-14	15.9	79.3	89	0.0	7.1	1	145.0
2022-09-14	15.7	77.5	90	0.0	5.8	0	175.5
2022-09-14	15.2	36.5	92	0.0	12.3	2	225.7
2022-09-14	14.7	36.4	95	0.0	15.4	4	213.3
2022-09-14	14.7	48.4	94	0.0	7.7	2	224.9
2022-09-14	14.8	38.6	94	0.0	10.0	2	207.9
2022-09-14	14.5	13.0	95	0.2	12.9	9	191.4
2022-09-14	14.3	20.9	95	0.2	10.8	10	178.7
2022-09-14	14.2	20.7	95	0.2	6.1	9	191.0
2022-09-14	14.1	19.7	95	0.0	6.1	4	184.1
2022-09-14	14.1	8.6	95	0.0	3.0	4	192.9
2022-09-14	14.1	0.5	94	0.0	3.4	8	157.1
2022-09-14	13.9	0.0	95	0.0	2.4	10	81.2
2022-09-14	13.8	0.0	96	0.0	1.9	10	69.1
2022-09-14	13.8	0.0	96	0.0	5.1	10	166.2
2022-09-14	13.6	0.0	96	0.2	9.7	9	227.5
2022-09-14	13.2	0.0	96	0.0	11.7	9	202.7
2022-09-14	13.0	0.0	96	0.8	8.5	9	216.0
2022-09-14	12.9	0.0	96	0.0	9.2	7	219.9
2022-09-14	12.8	0.0	96	0.0	6.0	6	264.2
2022-09-14	12.8	0.0	96	0.8	4.8	8	293.7
2022-09-14	12.7	0.0	96	0.2	5.9	9	312.4
2022-09-14	12.7	0.0	95	0.4	4.7	9	352.8
2022-09-14	12.6	0.0	95	0.2	5.2	10	4.0
2022-09-14	12.6	0.0	94	0.0	3.5	9	13.3
2022-09-14	12.6	0.0	95	0.0	3.5	10	31.1
2022-09-14	12.5	0.0	96	0.0	1.5	10	62.8
2022-09-14	12.5	0.0	96	0.0	6.7	9	345.8
2022-09-14	12.6	0.0	96	0.0	4.5	5	301.9
2022-09-14	12.6	0.0	96	0.0	6.0	5	308.0
2022-09-14	12.5	0.0	96	0.0	7.0	4	241.6
2022-09-14	12.5	0.0	95	0.0	5.2	4	305.3
2022-09-14	12.4	0.0	95	0.0	5.1	7	26.4
2022-09-14	12.3	0.0	95	0.0	4.2	10	17.9
2022-09-15	12.3	0.0	95	0.0	3.6	10	174.4
2022-09-15	12.2	0.0	95	0.0	3.9	10	36.1
2022-09-15	12.2	0.0	95	0.0	5.8	9	11.9
2022-09-15	12.3	0.0	94	0.0	6.6	5	14.1
2022-09-15	12.2	0.0	94	0.0	10.9	5	5.2
2022-09-15	12.2	0.0	95	0.0	4.8	4	317.8
2022-09-15	12.1	0.0	95	0.0	7.4	3	338.5
2022-09-15	12.1	0.0	95	0.0	7.1	3	26.7
2022-09-15	12.1	0.0	95	0.0	7.0	7	25.7
2022-09-15	12.0	0.0	95	0.0	3.5	9	335.5
2022-09-15	11.9	0.0	95	0.0	5.7	9	26.2
2022-09-15	11.8	0.0	96	0.0	3.9	10	31.5
2022-09-15	11.8	0.0	95	0.0	5.4	10	4.8
2022-09-15	11.9	0.0	95	0.0	3.6	10	39.1
2022-09-15	11.9	0.0	95	0.0	3.2	10	13.5
2022-09-15	11.9	0.0	95	0.0	4.2	8	304.0
2022-09-15	12.0	0.0	95	0.0	3.7	6	94.0
2022-09-15	12.0	0.0	95	0.0	5.0	4	30.7
2022-09-15	12.1	0.0	94	0.0	4.7	3	354.0
2022-09-15	12.1	0.0	94	0.0	4.2	8	24.1
2022-09-15	12.0	0.0	94	0.0	5.9	10	52.5
2022-09-15	12.0	0.0	94	0.0	3.2	10	137.0
2022-09-15	12.1	0.0	94	0.0	4.3	10	85.6
2022-09-15	12.1	0.0	94	0.0	6.5	10	25.8
2022-09-15	11.9	2.4	95	0.0	3.9	10	61.8
2022-09-15	11.7	14.8	96	0.0	5.9	10	43.1
2022-09-15	12.1	28.2	95	0.0	5.4	10	355.6
2022-09-15	12.3	55.5	95	0.0	6.1	10	17.2
2022-09-15	12.4	50.6	94	0.0	3.8	10	70.4
2022-09-15	12.6	127.3	94	0.0	5.7	10	52.8
2022-09-15	13.2	112.5	91	0.0	3.1	3	72.4
2022-09-15	14.4	338.2	88	0.0	3.2	0	6.2
2022-09-15	15.2	409.5	81	0.0	5.9	0	358.0
2022-09-15	15.8	355.6	78	0.0	4.4	0	101.4
2022-09-15	15.6	435.6	78	0.0	7.3	0	190.3
2022-09-15	15.3	410.0	80	0.0	9.2	0	222.6
2022-09-15	15.9	408.4	78	0.0	7.4	0	231.4
2022-09-15	16.5	453.7	77	0.0	4.7	0	299.7
2022-09-15	17.0	509.2	73	0.0	5.7	0	128.1
2022-09-15	17.3	809.9	72	0.0	10.6	0	187.8
2022-09-15	17.4	642.9	73	0.0	12.7	0	210.2
2022-09-15	16.9	531.3	74	0.0	12.3	0	193.5
2022-09-15	17.3	752.9	75	0.0	10.4	0	176.7
2022-09-15	17.8	662.2	75	0.0	11.5	0	185.3
2022-09-15	18.1	630.0	75	0.0	8.1	0	228.7
2022-09-15	18.0	659.6	74	0.0	11.7	0	204.4
2022-09-15	18.0	725.9	74	0.0	11.8	0	225.2
2022-09-15	18.4	647.5	73	0.0	11.1	0	204.7
2022-09-15	18.4	592.0	72	0.0	12.8	0	202.5
2022-09-15	18.0	383.6	72	0.0	13.0	0	198.1
2022-09-15	17.8	443.0	73	0.0	16.4	0	218.5
2022-09-15	17.5	220.1	75	0.0	12.2	0	209.8
2022-09-15	17.2	231.4	79	0.0	13.1	0	202.3
2022-09-15	16.9	465.3	83	0.0	11.7	1	184.8
2022-09-15	17.7	691.8	81	0.0	11.0	0	170.9
2022-09-15	17.9	404.3	77	0.0	11.5	0	188.6
2022-09-15	16.9	176.9	82	0.0	13.2	1	178.7
2022-09-15	17.1	113.7	81	0.0	12.4	0	200.9
2022-09-15	17.4	446.8	82	0.0	10.4	0	183.4
2022-09-15	17.3	165.5	82	0.0	13.5	0	189.1
2022-09-15	17.7	529.6	80	0.0	11.9	0	205.7
2022-09-15	18.0	501.7	80	0.0	10.5	0	208.0
2022-09-15	17.2	123.2	83	0.0	14.2	0	205.5
